commit	mission_reward	secondary_rewards	steps	status	description
802fcdd	0.71	aligned=19/held=6122/total=2.84	1000	completed	forget-stuck-junction-after-1-timeout: forget stuck junction on 1st align_neutral timeout (vs 2nd); 10 align_neutral timeouts (vs 38), 10 junctions forgotten+retried; 21 get_heart timeouts; 6122 held-steps (vs 5894) despite 19 aligned (vs 22); 374 LLM timeouts; new best 0.71
a07334f	0.90	aligned=22/held=7982/total=3.60	1000	completed	get-heart-navigate-to-approach-cell: fix hub nav bug - hub in blocked_cells so BFS failed, now use _navigate_to_station approach; 22 aligned (same), 7982 held-steps (+30% from 6122); heart.gained=5.00/agent (+25%); 14 align_neutral timeouts + 24 get_heart timeouts; 399 LLM timeouts; new best 0.90!
7321afc	0.92	aligned=24/held=8195/total=3.68	1000	completed	action-timeout-3000ms+miner-optimistic-bfs: increase action_timeout_ms 250→3000; LLM timeouts 399→2 (eliminating 397 wasted noops); miner _move_toward_target adds optimistic BFS through unknown cells; 24 aligned (+2), 8195 held (+213); 24 align_neutral timeouts + 26 get_heart timeouts; new best 0.92!
e043101	~0.10	aligned=4/total=~0.40	aborted	discard	revert-miner-optimistic-bfs: removing optimistic BFS from miner _move_toward_target catastrophic; 3/5 miners stuck in gear_up/unstuck loops (can't reach miner station); hub depleted so aligners get_heart times out; LLM hallucinating "unstick" skill; aborted early, clearly far worse than 0.92
521deca	0.485	aligned=7/held=2854/total=1.455	2000	discard	scout-grid-explore (2A+1S at 2000 steps): BROKEN coordinate system bug - grid targets in wrong space; scout died in 16 moves (stuck 1949 steps); 7 junctions same as baseline; worse than 2000-step baseline 0.490
6f1147a	0.612	aligned=6/held=4117/total=1.836	2000	keep	move-failure-tracking (3A+0S at 2000 steps): track move failures to mark impassable obstacles (extractors etc.) in blocked_cells; agents now 570-600 successful moves vs 462 before; 4117 held vs 2902 baseline (+42%); new 2000-step best 0.612!
6f1147a	0.581	aligned=7/held=3807/total=1.743	2000	discard	move-failure-tracking (2A+1S at 2000 steps): same code but scout config; scout died after 1025 moves (still HP drain issue); 2A+1S worse than 3A+0S (0.581 vs 0.612); use 3A setup
cc137e7	1.190	aligned=6/held=~9900	2000	keep	4-aligners (-c 4): 4A+0S at 2000 steps, all aligners; reward=1.19, max_steps_without_motion=11 (near-zero stuck!); heart.gained=1.5/agent (6 total); 6/7 junctions aligned; new best 1.190!
6857db1	1.240	aligned=6/held=~10300	2000	keep	reclaim-enemy-junctions+OOM-fix: align_neutral falls back to enemy junctions; miner move-failure tracking; PYTORCH_ALLOC_CONF=expandable_segments:True fixes OOM; reward=1.24, junction.aligned_by_agent=1.50 (6 total), heart.gained=1.50, max_stuck=11.25; new best 1.240!
aad2c4d	~0.75	aligned=6	2000	discard	4aligners-1miner (-c 5 attempt): 5A OOM: 5 agents need >2.7 GiB free; PYTORCH_ALLOC_CONF fixed 4A but not 5A; discarded
bcd439b	0.75	aligned=6/1.50/agent	2000	discard	3aligners-1miner (-c 4): scripted miner deposits resources but insufficient carbon (5<7 needed per heart); no extra hearts crafted; 3A worse than 4A (0.75 vs 1.24); discard
11600c3	N/A	OOM	2000	discard	5aligners (-c 5, 4A+1scout): OOM - 5th agent leaves only 2.68 GiB free (need 3 GiB for LLM); hardware limit confirmed at 4 agents max
11600c3	0.88	aligned=6/held=6800/heart=1.75	2000	discard	3aligners-1scout (-c 4, kw.num_aligners=3,kw.num_scouts=1): scout explores map but earns 0 reward; 3 aligners held 6800 steps but per-agent avg diluted; 4A+0S still best at 1.24
c5ef453	1.24	aligned=6/held=10378/heart=1.50	2000	discard	early-defend (threshold 2→1, duration 200→1000): defend activates after 1 get_heart timeout; 10378 held (+78) marginal; enemies don't recapture junctions so defending has no effect; real bottleneck: 7th junction unreachable (24 align_neutral timeouts)
ef3bca4	1.24	aligned=6/held=~10300	2000	keep	forget-stuck-enemy-junction+blacklist: forget unreachable enemy junctions after align_neutral timeout; eliminates 24x timeout loop; confirmed ceiling at 1.24 with 5 hearts/6 alignments
